"pitcher_id","full_name","total_pitches","innings_pitched","whip","fip","siera","csw_rate","xera","xfip","xwoba","xba","xslg","stuff_plus","strikeout_rate","walk_rate","KC_run_value","FF_run_value","FC_run_value","CH_run_value","SI_run_value","SL_run_value","ST_run_value","CU_run_value","FS_run_value"
669358,"Shane Baz",414,24.7,1.541,5.005,0.0,28.7,1.727,4.505,0.32,0.337,0.619,103.0,64.0,20.0,0.044,0.019,0.071,0.005,"","","","",""
663903,"Brady Singer",442,26.3,1.215,2.53,0.0,28.7,1.552,2.277,0.287,0.315,0.483,97.0,54.7,15.1,"",0.037,0.024,"",0.03,-0.006,0.024,"",""
669467,"Andre Pallante",524,25.0,2.32,6.26,1.885,24.4,1.839,5.634,0.341,0.32,0.531,99.0,52.1,31.2,0.003,0.077,"","",0.023,0.041,0.0,"",""
657746,"Joe Ryan",473,26.7,1.275,3.85,0.0,29.2,1.753,3.465,0.325,0.343,0.685,99.0,63.5,9.6,"",0.038,"","",0.036,0.027,-0.002,0.009,0.029
665795,"Edward Cabrera",576,34.3,1.194,3.566,0.0,34.5,1.719,3.209,0.318,0.383,0.593,99.0,80.0,16.4,"",0.027,"",0.003,0.055,0.036,"",0.015,""
601713,"Nick Pivetta",489,30.0,0.933,3.867,0.0,30.3,1.66,3.48,0.307,0.295,0.6,98.0,59.6,19.2,"",0.025,0.023,"",-0.006,0.018,-0.005,0.019,-0.033
656427,"Jack Flaherty",446,25.3,1.579,3.376,0.0,30.7,1.793,3.039,0.332,0.345,0.604,95.0,53.2,10.6,0.044,0.034,"",0.0,0.0,0.022,"","",""
592332,"Kevin Gausman",472,31.0,0.968,3.003,0.0,27.5,1.645,2.703,0.305,0.349,0.546,91.0,55.6,11.1,"",0.008,"","","",0.039,"","",0.019
694973,"Paul Skenes",482,27.7,1.229,2.558,0.0,30.3,1.428,2.302,0.265,0.32,0.498,98.0,71.7,8.7,"",0.031,"",-0.008,0.018,0.095,0.013,0.012,0.044
642547,"Freddy Peralta",483,27.0,0.926,2.507,0.0,29.6,1.268,2.257,0.235,0.252,0.379,95.0,69.4,24.5,"",0.016,"",-0.003,"",0.004,"",-0.015,""
542881,"Tyler Anderson",322,16.7,1.74,7.54,4.569,26.7,2.5,6.786,0.463,0.409,0.811,87.0,30.8,28.2,"",0.065,0.045,0.012,-0.042,0.008,"","",""
605488,"Jeffrey Springs",448,24.0,1.417,5.267,0.924,27.0,1.777,4.74,0.329,0.331,0.538,85.0,45.5,18.2,"",0.036,0.05,0.029,"",0.019,0.012,"",""
605280,"Clay Holmes",430,23.3,1.543,2.929,2.043,24.7,1.68,2.636,0.311,0.314,0.455,93.0,42.6,21.3,"",0.018,0.023,0.01,0.03,-0.009,0.018,"",""
608331,"Max Fried",486,26.7,1.612,3.738,0.094,31.1,1.944,3.364,0.36,0.396,0.617,96.0,50.9,17.5,"",0.065,0.052,0.027,0.03,-0.008,0.004,0.018,""
690916,"Richard Fitts",68,4.0,1.25,6.35,2.87,29.4,1.92,5.715,0.356,0.392,0.657,98.0,31.6,15.8,"",-0.004,"",0.062,0.071,0.006,-0.033,0.24,""
