game_date,home_team,away_team,game_time,status,venue,game_id,home_probable_pitcher,away_probable_pitcher,source
2025-08-31,CIN,STL,2025-08-31T16:10Z,STATUS_IN_PROGRESS,Great American Ball Park,401696956,TBD,TBD,espn_api
2025-08-31,MIN,SD,2025-08-31T17:05Z,STATUS_IN_PROGRESS,Target Field,401696961,TBD,TBD,espn_api
2025-08-31,BOS,PIT,2025-08-31T17:35Z,STATUS_IN_PROGRESS,Fenway Park,401696954,TBD,TBD,espn_api
2025-08-31,WSH,TB,2025-08-31T17:35Z,STATUS_IN_PROGRESS,Nationals Park,401696957,TBD,TBD,espn_api
2025-08-31,TOR,MIL,2025-08-31T17:37Z,STATUS_IN_PROGRESS,Rogers Centre,401696953,TBD,TBD,espn_api
2025-08-31,NYM,MIA,2025-08-31T17:40Z,STATUS_IN_PROGRESS,Citi Field,401696952,TBD,TBD,espn_api
2025-08-31,CLE,SEA,2025-08-31T17:40Z,STATUS_IN_PROGRESS,Progressive Field,401696955,TBD,TBD,espn_api
2025-08-31,HOU,LAA,2025-08-31T18:10Z,STATUS_IN_PROGRESS,Daikin Park,401696958,TBD,TBD,espn_api
2025-08-31,KC,DET,2025-08-31T18:10Z,STATUS_IN_PROGRESS,Kauffman Stadium,401696959,TBD,TBD,espn_api
2025-08-31,CHW,NYY,2025-08-31T18:10Z,STATUS_IN_PROGRESS,Rate Field,401696960,TBD,TBD,espn_api
2025-08-31,COL,CHC,2025-08-31T19:10Z,STATUS_SCHEDULED,Coors Field,401696962,TBD,TBD,espn_api
2025-08-31,SF,BAL,2025-08-31T20:05Z,STATUS_SCHEDULED,Oracle Park,401696964,TBD,TBD,espn_api
2025-08-31,ATH,TEX,2025-08-31T20:05Z,STATUS_SCHEDULED,Sutter Health Park,401764587,TBD,TBD,espn_api
2025-08-31,LAD,ARI,2025-08-31T20:10Z,STATUS_SCHEDULED,Dodger Stadium,401696963,TBD,TBD,espn_api
2025-08-31,PHI,ATL,2025-08-31T23:00Z,STATUS_SCHEDULED,Citizens Bank Park,401696951,TBD,TBD,espn_api
